Unnamed: 0,_id,text,task_1,task_2,inputs,task_2_cat
4745,60c5d6bf5659ea5e55def8b8,4lakh cases in a day ðŸ˜” @PMOIndia @drharshvardhan @narendramodi @HMOIndia are u capable enough to interpret what can happen from here. If not #ResignModi and implement President's Rule. Seeing people around me die everyday breaks me emotionally. Yet u the allpowerful stay hidden https://t.co/xfljY0c3bo,HOF,OFFN,0,2
4795,60c5d6bf5659ea5e55def871,"@SiennaSummerEIC @Chantel_Etoile You do understand how social media works, right? You canâ€™t just make outrageous accusations like calling someone a â€œpimpâ€ and not expect to be questioned on that",HOF,PRFN,0,3
3145,60c5d6bf5659ea5e55df0447,$66000 is such a weird fine for trying to get home. #IndiaCovidCrisis #Scottythefukwit  can anyone explain it? not you scotty shut the hell up. #worstScottSinceCaptain,HOF,PRFN,0,3
4879,60c5d6bf5659ea5e55defa5e,@MickeyBlowtorch I've been frustrated by this commercial since I've first scene it. The bitch ignores her bloody child while having a ball playing with tlher cat. Hits way to close to realty for a lot of parents who ignore their kids.,HOF,PRFN,0,3
1636,60c5d6bf5659ea5e55defb38,just want the swagger of that one asshole drummer in the Cheerios shirt in the sorry you're not a winner video,HOF,PRFN,0,3
1457,60c5d6bf5659ea5e55defc46,"@LeatherboyJBo Cover those nipples, you don't want to look like a whore!  Clamps would work.",HOF,PRFN,0,3
4015,60c5d6bf5659ea5e55defba5,Guys I've blocked that account for a reason lmao. This the 2nd time in the space of a few hours my tl has been flooded with people quoting that shithead. Maybe I'll join too in the morning lol. It's 12:47 am here and I'm going to sleep. Bye. Just block every cunt you find. https://t.co/vZueqSYoje,HOF,PRFN,0,3
3019,60c5d6bf5659ea5e55df0427,Jst we know 2 cry on the lynches done by the #goons in #Bengal . If u R considering urself a secular and well educated being silent.die of shame. nearly one 1lakh #Hindusinbengal forced to flee away of their own houses.. shame on ur #Secularism #BengalBurning  @AmitShahOffice hlp,HOF,HATE,0,0
3472,60c5d6bf5659ea5e55def46f,The harsh truth of the matter is....Modi and his team is not resigning NOT because they want to retain their position of power...it's actually because they are shit scared about what Indians would do to them once they become ordinary citizens. #Resign_PM_Modi #ResignModi,HOF,HATE,0,0
2418,60c5d6bf5659ea5e55df01f0,@narendramodi @MamataOfficial I'm just fed up with your willingness to became a new Gandhi ...sir sorry to say that you  disappointed us...Not a single tweet to condemned #BengalViolence and in solidarity of our #BJPKaryakartas ...wake up .. #BengalBurning,NOT,NONE,1,1
3849,60c5d6bf5659ea5e55df0224,"Ethics, values and compassion should been the mantra at this stage. Unfortunately many sick minds are using it as a tool to make fortune. Look at just bed blocking and black marketing of drugs. It's not covid killing people, it's the greedy and creepy humans. #IndiaCovidCrisis",HOF,PRFN,0,3
5010,60c5d6bf5659ea5e55def10b,dont know who tf Margaret is but this bitch been giving people out the wrong phone number for at least a decade now and iâ€™m fukin sick of getting her calls! like how tf do you not know youâ€™re number and at that continue to keep going out the wrong one when you set up appointments,HOF,OFFN,0,2
3501,60c5d6bf5659ea5e55def381,@vonderleyen Shame on you!! We are not idiots. Any thing less than #TripsWaiver and technology transfer will kill millions. No more deflection tactics. Put human life's before the profit of #BigPharma. No more criminal #CovidVaccine politics. Let the,HOF,HATE,0,0
4856,60c5d6bf5659ea5e55def957,@ArmaanS13738198 @narendramodi If we r already so defame in nation then why u r giving us attention? Why you ass is getting fire ðŸ”¥ BJP IT CELL #FarmersProtest #FarmLawsWorstThanCOVID #COVID19 #ResignModi,HOF,OFFN,0,2
471,60c5d6bf5659ea5e55def352,A disgrace to all mankind!! Where is Modi?? Indians left to fend for themselves while MODI fends for Ambani and Adnani!  #ResignModi,HOF,OFFN,0,2
2896,60c5d6bf5659ea5e55df01d8,@mixtapeminimus1 Shit is sexy,NOT,NONE,1,1
3063,60c5d6bf5659ea5e55df038b,@cryptozissou @Adouble212 Well price action is actually hooker to me,NOT,NONE,1,1
1318,60c5d6bf5659ea5e55def7f5,"Images are disturbing, to say the least!  #IndiaCovidCrisis #CovidIndiaInfo #NarendraModi https://t.co/4zmgrtD2vx",NOT,NONE,1,1
611,60c5d6bf5659ea5e55def627,"Unfortunately, when MONEY can't buy you everything!   #IPL2021 #IndianPremierLeague  #IndiaCovidCrisis #Cricket #IPL #iplsuspended https://t.co/VvOS1oqcUH",NOT,NONE,1,1
915,60c5d6bf5659ea5e55def91a,#COVIDIOTS #ResignModi  Really sad 🥲  https://t.co/Xy5u5mbx79,NOT,NONE,1,1
12,60c5d6bf5659ea5e55def204,The situation all around us is extremely painful.I can't albe to see it any more..ppl are loosing their hope. Only God knows when will this all end.God will never forgive anyone who behaves as a opportunistic in this inhumane crisis. #wuhanvirus @WIONews @PMOIndia @arunbothra,NOT,NONE,1,1
3556,60c5d6bf5659ea5e55def4da,@globaltimesnews You bastard Fucking chinese chinki. Shame on you. You are responsible for this chinese virus from #Wuhan @USAndIndia @EOIBeijing #China #chineseVirus @ZeeNews @_Aaj_Tak @indiatvnews https://t.co/7qPTEs5lfo,HOF,OFFN,0,2
1615,60c5d6bf5659ea5e55defb2b,"@VivekVs1963 Delhi really needs new cremation grounds. What prescience of our great leaders, cutting trees and making space, killing two birds with one stone!! #StopCentralVistaProject  #DelhiCantBreathe  #IndiaCovidCrisis",NOT,NONE,1,1
3439,60c5d6bf5659ea5e55def417,@ZubyMusic I guess it depends how you define 'winner'. You can be at the top of your particular game but still be a loser/wanker.,HOF,PRFN,0,3
557,60c5d6bf5659ea5e55def4c0,@johnnyddavidson @Six_Again @rosshmediaman @therealsteavis How many more do we need? I'd have thought hooker would have been more of a priority.,NOT,NONE,1,1
909,60c5d6bf5659ea5e55def8a5,Killer Pradhan Sevak Enough is Enough You had made all medical services mess #ExitModi  #ModiResign #ModiMadeDisaster #ModiHataoDeshBachao #ModiKaVaccineJumla #Resign_PM_Modi #ModiGovtSeNaHoPayega,HOF,OFFN,0,2
2600,60c5d6bf5659ea5e55df037f,@shivanshfcbm Who is that wanker...on the left side in pakistan jersey.... I dont know anything about cricket other than indian players,HOF,PRFN,0,3
1621,60c5d6bf5659ea5e55defbb2,@Paul25413112 @MuroCrypto wheres my god damn green candle u god damn son of a bitch,HOF,OFFN,0,2
1846,60c5d6bf5659ea5e55defcd7,why U R unable to #cancel12thboardexams2021  students are fully depressed and  stressed  whole year they were in doubts only and now also they are what our govt is doing  if doubts.....not cleared since one year  @DrRPNishank   @EduMinOfIndia   @SonuSood   @ #ResignPMmodi,NOT,NONE,1,1
871,60c5d6bf5659ea5e55def531,@JamesRedwood32 He’s not going to shag you mate,HOF,PRFN,0,3
25,60c5d6bf5659ea5e55def1b9,Highly feel ashamed to say that i am an indian i live in a country where the govt doesnt give a shit to students demands &amp; their health..where the country fails to control the pandemic moreover tries to increase it!! Oh god india sucks now!!  #ResignModi  #dontignore12thstudents,HOF,HATE,0,0
