text_id,text,task_1
hasoc_mr_1,भारत 15 ऑगस्ट 1947 ला स्वतंत्र झाला आणि त्यानंतर तब्बल 2.5 वर्षांनी म्हणजे 26 जानेवारी 1950 साली भारताला राज्यघ…,NOT
hasoc_mr_2,स्वत ला हवा तसा बाइट किंवा प्रतिक्रिया घेण्यासाठी ॲन्करबाई किती हट्टाला पेटलीय. जोरजबरदस्तीने तोंडात वाक्य घुसवतेय.,NOT
hasoc_mr_3,5 व्या नंबरची अर्थव्यवस्था आहे भारताची जगात 2014 पर्यंत.... चंप्या  आता पण 5 वर आहे... अण…,NOT
hasoc_mr_4,च्यायला म्हणजे दुबईचा फोन ही पुडीच निघाली की.,HOF
hasoc_mr_5,ह्याला खरंतर कधीच आत टाकला पाहिजे होता. पैसा आणि स्टारडमच्या जोरावर चाललाय सगळं. एकदा ह्याच्यावर घाल…,HOF
hasoc_mr_6,भोसडीच्या तुझ्या आईचा मी नवरा आहे. तुझ्या आईची गांड बघ. मागून गांड मारून मारू…,HOF
hasoc_mr_7,राज्यात हळद संसोधन व प्रकिया निश्चित करण्यासाठी लोकसभा सदस्य हेमंत पाटील यांच्या अध्यक्षतेखाली ‘अभ्यास समिती  गठीत…,NOT
hasoc_mr_8,तुला कुत्र तर विचारत का ? आणि हो एकट्या कंगणाने तुमच्या गोट्या चोळून पार धूर काढला  घंटा काय करावं क…,HOF
hasoc_mr_9,२०१४ साली महासत्ता होण्याची स्वप्न बघणारा आमचा युवक २०२० साली बेरोजगारी भत्ता मागू लागला. एवढा अनर्थ evm वरच्या एका…,NOT
hasoc_mr_10,मॅट्रीकमध्ये चांगले गुण मिळाल्याने पुण्याच्या फग्र्युसन कॉलेजमध्ये प्रवेश त्यांना स्कॉलरशिपसह मिळाला. पुढे पुण्या…,NOT
hasoc_mr_11,राम कदम वागण्यात नाही तर बोलण्यात चुकला  बीजेपी मग अजितदादा कुठे तुमच्या तोंडात मूतले होते का?,HOF
hasoc_mr_12,गुरव बाई लई रांड  लई माणसाचा पुळका तिला झवाडी साली  चु…,HOF
hasoc_mr_13,राजसाहेब ठाकरे हे नेहमीच आपल्या माणसाला सजग करत असतात. आज  काही महाभाग जागे झाले व म्हणत आहेत   सरकारी नोकऱ्या उर…,NOT
hasoc_mr_14,हिंदी च्या मोहापायी मुख्यमंत्रीपद गेलंय.. तरी ती हिंदी सोडवत नाही..🤦आणि सुधारला नाही तर विरोधी पक्षनेते पद जायला वे…,NOT
hasoc_mr_15,मायची कटकट  लई घाण शिवी आलीय तोंडात ही news बघून  पण सोशल मीडिया चा रिस्पेक्ट म्हणून देत नाहीय.... …,NOT
hasoc_mr_16,मग चला सुरू करूया    मी पाहिलं वाक्य टाकतो     काळोख  थोडा सा पाऊस  मंद वारा  आत्ताच पुन्हा दिसला  ना…,NOT
hasoc_mr_17,स्ञी वर्गाचा मान राखला पाहिजे ती आपल्या माता आणि बहिणी समान आहे हि छञपती शिवरायांची संपुर्ण हिंदवी स्वराज्यातील…,NOT
hasoc_mr_18,तुम्हाला माहिती आहे का ? शंतनू ला बरे नसतानाही तो आज दिवसभर ट्विटर वर नोकरी च्या पोस्ट टाकतो आहे ? आपल्या भल्यासाठी कोणी मेहन…,NOT
hasoc_mr_19,हीच का तुमची शिवसेने चि शिकवण... आपली आई म्हणजे दैवत आणि दुसऱ्याची आई म्हणजे रांड... 🤬🤬,HOF
hasoc_mr_20,देशाच्या नव्या संसदेचे बांधकाम टाटा करणार टाटा प्रोजेक्ट लिमिटेड ची निविदा सर्वात कमी किमतीची ठरली देशातल्या 3 ना…,NOT
hasoc_mr_21,तुमच्या तोंडात साखर पडो,NOT
hasoc_mr_22,मराठ्यांनो कळालं का आता कोण तुमचा विचार करतो ते???,NOT
hasoc_mr_23,हे वाचा गाढवांनो. आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने 2008 साली काय करार केला चीनी कम्युनि…,HOF
hasoc_mr_24,jio ला आव्हान देण्यासाठी airtel देत आहे स्वस्त प्लान मध्ये अनलिमिटेड डेटा आणि कॉलिंग  जाणून घ्या तुमच्यासाठी कोणता…,NOT
hasoc_mr_25,ह्या असल्या दळभद्री लोकांना अक्कल शिकवायला हवी. होय मि complaint केलीय. तुम्हीही निदान अकाउंट रिपोर्ट करा त्याचे अकाउं…,HOF
